schema_name,table_name
public,accounts
public,categories
public,customers
public,expense_categories
public,expenses
public,financial_movements
public,inventory_movements
public,order_financials
public,order_items
public,orders
public,payments
public,points_of_sale
public,product_variant_images
public,product_variants
public,products
public,profiles
public,purchase_financials
public,purchase_order_items
public,purchase_orders
public,supplier_payments
public,suppliers
public,transfers
public,warehouses
