table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,is_identity,identity_generation
public,cash_movements,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,cash_movements,2,user_id,uuid,uuid,NO,null,NO,null
public,cash_movements,3,point_of_sale_id,uuid,uuid,NO,null,NO,null
public,cash_movements,4,movement_type,text,text,NO,null,NO,null
public,cash_movements,5,payment_method,text,text,NO,null,NO,null
public,cash_movements,6,amount,numeric,numeric,NO,null,NO,null
public,cash_movements,7,currency_code,text,text,NO,'ARS'::text,NO,null
public,cash_movements,8,order_id,uuid,uuid,YES,null,NO,null
public,cash_movements,9,payment_id,uuid,uuid,YES,null,NO,null
public,cash_movements,10,reference_type,text,text,YES,null,NO,null
public,cash_movements,11,reference_id,uuid,uuid,YES,null,NO,null
public,cash_movements,12,notes,text,text,YES,null,NO,null
public,cash_movements,13,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,cash_movements,14,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,categories,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,categories,2,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,categories,3,name,text,text,YES,null,NO,null
public,categories,4,slug,text,text,YES,null,NO,null
public,categories,5,order,smallint,int2,YES,null,NO,null
public,categories,6,active,boolean,bool,YES,null,NO,null
public,categories,7,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,customers,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,customers,2,user_id,uuid,uuid,NO,null,NO,null
public,customers,3,full_name,text,text,NO,null,NO,null
public,customers,4,phone,text,text,YES,null,NO,null
public,customers,5,email,text,text,YES,null,NO,null
public,customers,6,notes,text,text,YES,null,NO,null
public,customers,7,is_active,boolean,bool,NO,true,NO,null
public,customers,8,created_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,customers,9,updated_at,timestamp with time zone,timestamptz,NO,now(),NO,null
public,customers,10,address,text,text,YES,null,NO,null
public,customers,11,address_input,text,text,YES,null,NO,null
public,customers,12,address_formatted,text,text,YES,null,NO,null
public,customers,13,address_notes,text,text,YES,null,NO,null
public,customers,14,address_place_id,text,text,YES,null,NO,null
public,customers,15,address_lat,double precision,float8,YES,null,NO,null
public,customers,16,address_lng,double precision,float8,YES,null,NO,null
public,inventory_movements,1,id,uuid,uuid,NO,gen_random_uuid(),NO,null
public,inventory_movements,2,user_id,uuid,uuid,NO,null,NO,null
public,inventory_movements,3,product_id,uuid,uuid,NO,null,NO,null
