schema_name,table_name,fk_name,fk_columns,ref_schema,ref_table,ref_columns,on_update,on_delete
public,cash_movements,cash_movements_order_id_fkey,order_id,public,orders,id,a,n
public,cash_movements,cash_movements_payment_id_fkey,payment_id,public,payments,id,a,n
public,cash_movements,cash_movements_point_of_sale_id_fkey,point_of_sale_id,public,points_of_sale,id,a,r
public,cash_movements,cash_movements_user_id_fkey,user_id,auth,users,id,a,c
public,customers,customers_user_id_fkey,user_id,auth,users,id,a,c
public,inventory_movements,inventory_movements_point_of_sale_id_fkey,point_of_sale_id,public,points_of_sale,id,a,n
public,inventory_movements,inventory_movements_product_id_fkey,product_id,public,products,id,a,r
public,inventory_movements,inventory_movements_user_id_fkey,user_id,auth,users,id,a,c
public,inventory_movements,inventory_movements_variant_id_fkey,variant_id,public,product_variants,id,a,n
public,inventory_movements,inventory_movements_warehouse_id_fkey,warehouse_id,public,warehouses,id,a,n
public,order_items,order_items_order_id_fkey,order_id,public,orders,id,a,c
public,order_items,order_items_product_id_fkey,product_id,public,products,id,a,a
public,order_items,order_items_variant_id_fkey,variant_id,public,product_variants,id,a,n
public,orders,orders_customer_id_fkey,customer_id,public,customers,id,a,n
public,orders,orders_point_of_sale_id_fkey,point_of_sale_id,public,points_of_sale,id,a,n
public,orders,orders_user_id_fkey,user_id,auth,users,id,a,a
public,orders,orders_warehouse_id_fkey,warehouse_id,public,warehouses,id,a,n
public,payment_allocations,payment_allocations_order_id_fkey,order_id,public,orders,id,a,c
public,payment_allocations,payment_allocations_payment_id_fkey,payment_id,public,payments,id,a,c
public,payment_allocations,payment_allocations_user_id_fkey,user_id,auth,users,id,a,c
public,payments,payments_customer_id_fkey,customer_id,public,customers,id,a,n
public,payments,payments_order_id_fkey,order_id,public,orders,id,a,c
public,payments,payments_user_id_fkey,user_id,auth,users,id,a,c
public,points_of_sale,points_of_sale_user_id_fkey,user_id,auth,users,id,a,c
public,product_variants,product_variants_product_id_fkey,product_id,public,products,id,a,c
public,product_variants,product_variants_user_id_fkey,user_id,auth,users,id,a,c
public,products,products_category_id_fkey,category_id,public,categories,id,a,a
public,profiles,profiles_id_fkey,id,auth,users,id,a,c
public,purchase_order_items,purchase_order_items_product_id_fkey,product_id,public,products,id,a,r
public,purchase_order_items,purchase_order_items_purchase_order_id_fkey,purchase_order_id,public,purchase_orders,id,a,c
public,purchase_order_items,purchase_order_items_variant_id_fkey,variant_id,public,product_variants,id,a,n
public,purchase_orders,purchase_orders_point_of_sale_id_fkey,point_of_sale_id,public,points_of_sale,id,a,n
public,purchase_orders,purchase_orders_supplier_id_fkey,supplier_id,public,suppliers,id,a,r
public,purchase_orders,purchase_orders_user_id_fkey,user_id,auth,users,id,a,c
public,suppliers,suppliers_user_id_fkey,user_id,auth,users,id,a,c
public,warehouses,warehouses_user_id_fkey,user_id,auth,users,id,a,c
