bucket_id,name,owner,metadata,created_at,updated_at
catalog,products/B00460/B00460-thumb-01.webp,null,"{""eTag"":""\""d84cd14862bb0874b0247dd6733d448c\"""",""size"":9350,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:57.000Z"",""contentLength"":9350,""httpStatusCode"":200}",2026-04-01 01:00:56.563978+00,2026-04-01 01:00:56.563978+00
catalog,products/B00377/B00377-thumb-01.webp,null,"{""eTag"":""\""9b39168b3876387a4f9479859918122e\"""",""size"":9196,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:56.000Z"",""contentLength"":9196,""httpStatusCode"":200}",2026-04-01 01:00:55.243857+00,2026-04-01 01:00:55.243857+00
catalog,products/B00375/B00375-thumb-01.webp,null,"{""eTag"":""\""7eaa1ecdcf79693632bc19d8adc0148e\"""",""size"":7560,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:54.000Z"",""contentLength"":7560,""httpStatusCode"":200}",2026-04-01 01:00:53.798902+00,2026-04-01 01:00:53.798902+00
catalog,products/B00285/B00285-thumb-01.webp,null,"{""eTag"":""\""4e10ff4a5358f4b2af10aa8f4f41e58f\"""",""size"":6972,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:53.000Z"",""contentLength"":6972,""httpStatusCode"":200}",2026-04-01 01:00:52.456824+00,2026-04-01 01:00:52.456824+00
catalog,products/B00209/B00209-thumb-01.webp,null,"{""eTag"":""\""e5c23226f507078a74b4d59820721d66\"""",""size"":7944,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:52.000Z"",""contentLength"":7944,""httpStatusCode"":200}",2026-04-01 01:00:51.121662+00,2026-04-01 01:00:51.121662+00
catalog,products/B00101/B00101-thumb-01.webp,null,"{""eTag"":""\""e95d4bdd4a00d22619fd236d43da1f5a\"""",""size"":7616,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:50.000Z"",""contentLength"":7616,""httpStatusCode"":200}",2026-04-01 01:00:49.767151+00,2026-04-01 01:00:49.767151+00
catalog,products/B00213/B00213-thumb-01.webp,null,"{""eTag"":""\""f709016c3096ab1e3861982e2218943e\"""",""size"":7934,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:49.000Z"",""contentLength"":7934,""httpStatusCode"":200}",2026-04-01 01:00:48.491825+00,2026-04-01 01:00:48.491825+00
catalog,products/B00187/B00187-thumb-01.webp,null,"{""eTag"":""\""af0f48df38ca3988d1fc2ad8fcd6dbe6\"""",""size"":8732,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:48.000Z"",""contentLength"":8732,""httpStatusCode"":200}",2026-04-01 01:00:47.339354+00,2026-04-01 01:00:47.339354+00
catalog,products/B00142/B00142-thumb-01.webp,null,"{""eTag"":""\""e13ae5c9f12c73bd5d89e82e12b6ada2\"""",""size"":8342,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:46.000Z"",""contentLength"":8342,""httpStatusCode"":200}",2026-04-01 01:00:45.932313+00,2026-04-01 01:00:45.932313+00
catalog,products/B00420/B00420-thumb-01.webp,null,"{""eTag"":""\""5fb119fd31edeebf6556c23367238186\"""",""size"":8264,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:45.000Z"",""contentLength"":8264,""httpStatusCode"":200}",2026-04-01 01:00:44.618286+00,2026-04-01 01:00:44.618286+00
catalog,products/B00127/B00127-thumb-01.webp,null,"{""eTag"":""\""7de7de2b64014fd88b21d4d2734b6107\"""",""size"":9076,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:44.000Z"",""contentLength"":9076,""httpStatusCode"":200}",2026-04-01 01:00:43.415626+00,2026-04-01 01:00:43.415626+00
catalog,products/B00284/B00284-thumb-01.webp,null,"{""eTag"":""\""eaf895edf346d0ed865c6a5382c5fbb7\"""",""size"":10648,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:42.000Z"",""contentLength"":10648,""httpStatusCode"":200}",2026-04-01 01:00:41.686199+00,2026-04-01 01:00:41.686199+00
catalog,products/P00275/P00275-thumb-01.webp,null,"{""eTag"":""\""149f78fbf0c61ae37085efec0f58cbdb\"""",""size"":9994,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:41.000Z"",""contentLength"":9994,""httpStatusCode"":200}",2026-04-01 01:00:40.8236+00,2026-04-01 01:00:40.8236+00
catalog,products/B00433/B00433-thumb-01.webp,null,"{""eTag"":""\""4c3f0210bcffb693913e7cdfc68ba0cb\"""",""size"":11732,""mimetype"":""text/plain;charset=UTF-8"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-04-01T01:00:40.000Z"",""contentLength"":11732,""httpStatusCode"":200}",2026-04-01 01:00:39.846355+00,2026-04-01 01:00:39.846355+00
